countries,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Benin,1658.04348362108,1677.50351030005,1913.69442472004,967.479010186874,10.5674394198419,10.5495034703474,10.4650990021378,10.4281720472961,10.3965203717175,10.2973451215712,10.2931248981607,10.2509226640559,10.0399114935319,20.1325757796948,20.0671623168324,58.9923929433947,97.4027563138784,58.3213774211284,48.9866652594877,75.7258952827037,65.3473952649489,74.6034002599842
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,20633.275449521,22229.0245260115,24659.8437513699,27888.2045826912,25923.9738743212,29132.169582062,48421.4195796745,69224.7606198292,73107.3282461927,72714.6255439444,76213.4567414876,73231.1076296379,69447.0973932215,77169.8143136788,73173.2822767338,77511.988244151,78814.6434991929,77204.6435909806,69452.7171868629,87334.773842788,85603.5183842114,86568.4928726689
Bolivia,228090.290802655,292034.070252393,338729.348856799,382839.513529879,532542.596458002,623398.471071802,654410.754799367,692480.763152953,693915.73939241,603778.876858466,673829.122456532,730759.698380464,831580.899578614,948016.921004676,973640.386106279,957913.990926192,918878.343292216,895506.677196411,844943.068246887,758750.367425871,725939.398334175,755793.219316176
Bosnia and Herzegovina,168073.798016489,171442.300240278,177961.606788779,157314.605808287,148817.533754534,150845.075134056,150864.608645513,135131.860814459,153511.874179241,166164.597647126,179591.190845195,153176.604003418,148538.142550017,167553.984758311,154606.213256036,147943.787439002,153922.818586988,146767.992276782,172102.618029161,161523.647459886,143123.722342339,170378.542062295
Botswana,22085.9997444597,21498.6061342347,22391.4444217767,19336.9976486067,21404.6231565987,23143.3082428647,22602.9061214577,19454.4763706517,21381.1274121897,17339.8593738418,23213.7954760917,18514.6465942918,34572.2799371321,35169.7662116424,40346.2297155654,49125.688827585,44277.1071290077,52387.9420902445,51115.1334084961,49832.0111700473,44303.6510338586,46836.7848585873
Brazil,6985939.39801847,6782957.38709451,7385899.27600632,7762305.50880634,7899358.95119682,8485380.31624792,8884387.79776826,9333317.47211918,9729077.14378419,10056485.2936194,10710964.0166917,11087228.2578471,10960419.7891775,10903715.6454022,11445756.7011978,11806854.0604623,12266393.905022,12626981.7510964,12844021.4001362,13454587.8770697,12779663.7653498,12529244.5761468
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4356617618566,13.9515057457801,13.6643195426969,13.7002178180823,13.6557039566044,15.3183580343015,15.1753494337023,15.144117670353,14.9649459753494,14.6378343486914,14.4208557822649,15.0480426807285
Brunei,861190.412335931,882861.693684989,836525.711950934,873664.937805527,897378.05275524,910681.657580875,1025998.38844042,911030.268527687,872804.898594789,771045.358270692,793243.550334943,859358.410978101,812539.667660755,762791.481721495,708027.017559745,747233.95156255,718835.450628735,745009.293953442,737514.673513574,767555.469282839,729908.3332454,679840.454654737
Bulgaria,426501.883914274,428617.37494834,452274.230205247,421524.35568016,424238.416699376,549349.002976888,463770.958244089,412085.691908181,420508.970917113,406681.994586469,445608.703480538,506372.897287501,488346.715652882,448986.599842849,484889.99865735,519991.077133067,474429.213324815,489433.099260565,489149.875084884,458352.049921875,411166.623442186,480444.888103158
